id,brand,name,year,cpu_rank,cpu,ram,disk,is_rtx,gpu,gpu_memory,price,disk_detail,weight,weight_type,battery,battery_life,screen_size,has_camere,keyboard_haslight,keyboard,video_type,thin_type,business_type,game_type,is_apple,description,link,img_src,class
384,GPD,GPD p2 max,2019,0,0,0,No description,0,No description,0,0,0,650g,light,8小时左右，视具体使用环境而定,long,0,TRUE,0,巧克力键盘，平面孤岛式，QWERTY全键盘设计,0,0,0,0,0,0,http://detail.zol.com.cn/1299/1298093/param.shtml,//icon.zol-img.com.cn/param20140526/16/36.jpg,2
385,戴尔,戴尔Inspiron 灵越 13,2019,5,Intel 酷睿i5 10210U,8,512GB,0,Intel GMA HD（集成于处理器）>,0,0,SSD固态硬盘>,1.4Kg,medium,0,short,13.3,TRUE,1,背光键盘,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1290/1289993/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/0A/ChMlWl1gFuOIKcTBAABJ5BtNaR0AAMvzAI5iXUAAEn8040.jpg,2
386,HUAWEI,华为HUAWEI MateBook B3-410,2020,5,Intel 酷睿i5 10210U,8,512GB,0,Intel UHD Graphics 620,0,0,SSD固态硬盘>,1.38Kg,medium,视具体使用环境而定长续航笔记本>,0,0,TRUE,1,全尺寸键盘>，背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1333/1332867/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/00/06/ChMkKV8ZChWIGzw_AADSYDgaFSAAAABtQFoMrgAANJ4316.jpg,2
387,火影,火影T7A R7,2020,7,AMD Ryzen 7 4800H,16,512GB,RTX2060,NVIDIA GeForce RTX 2060,6,7799,SSD固态硬盘>,2.45Kg,heavy,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,1,背光键盘，全尺寸键盘（包含独立数字键盘）,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1333/1332028/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/0A/ChMlWl8Pz5WIWUDHAAGMXlUBsRoAAP_qQMoDHIAAYx2274.jpg,4
388,HUAWEI,华为MateBook D R7,0,0,0,0,No description,0,No description,0,0,0,0,0,0,short,0,FALSE,0,NO SPECIAL,0,1,0,0,0,"轻薄笔记本,",http://detail.zol.com.cn/1332/1331812/param.shtml,https://2f.zol-img.com.cn/product/206_280x210/781/cePxELjFf8Zxc.jpg,2
389,惠普,惠普暗影精灵5 Air 15-dh0006TX,2019,7,Intel 酷睿i7 9750H,8,512GB,0,NVIDIA GeForce GTX 1660Ti,6,0,SSD固态硬盘>,2.4Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1274/1273967/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/02/09/ChMlWlzjpEmIdFUNAADs2PFD5QUAAKEAAFy1VsAAOzw584.jpg,2
390,戴尔,戴尔Latitude 15,2019,5,Intel 酷睿i5 8265U,8,1T,0,NVIDIA GeForce MX130,2,0,5400转>,1.98Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,0,NO SPECIAL,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1272/1271028/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/0D/01/ChMlWlzGlA-IEdIxAABRdoeYTp4AAJuQQIsyAsAAFGO406.jpg,2
391,神舟战神,神舟战神G7-CU7NA,2020,7,Intel 酷睿i7 10750H,8,512GB,0,NVIDIA GeForce GTX 1660 Ti,6,7088,SSD固态硬盘>,0,0,视具体使用环境而定长续航笔记本>,0,17.3,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1318/1317996/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/05/00/ChMlWl6NKRqIB4_dAAFFvp26j4YAAOJawIqj2EAAUXW094.jpg,0
392,戴尔,戴尔Latitude 13 7300,2019,5,Intel 酷睿i5 8265U,8,256GB,0,Intel GMA UHD 620,0,0,PCIe NVMe Class 40固态硬盘,1.25Kg,medium,视具体使用环境而定长续航笔记本>,0,13.3,TRUE,1,背光键盘,0,0,1,0,0,"商务办公本,",http://detail.zol.com.cn/1278/1277529/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g2/M00/06/0B/ChMlWVzvgcyIINTGAAEg4gKBEKgAAKUkwOZxkEAASD6964.jpg,2
393,ThinkPad,ThinkPad T15g,0,9,Intel 酷睿i9 10980H,0,No description,RTX2080,NVIDIA GeForce RTX 2080 Super Max-Q,8,0,0,2.74Kg,heavy,视具体使用环境而定长续航笔记本>,0,15.6,TRUE,1,背光键盘,0,0,0,1,0,"游戏本,",http://detail.zol.com.cn/1336/1335855/param.shtml,https://pro-fd.zol-img.com.cn/t_s300x225c5/g6/M00/06/00/ChMkKV9DFcOIcpt7AADUR1q-mSwAABYBAJSg6IAANRf145.jpg,2
